,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3,clustersum,clustersum,clustersum
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-16 10:00:00,14986.93,14929.503928555228,15264.626,10620.59,10685.799624420004,10545.274,1604.4999999999998,1596.3889393430488,1567.8749,2761.84,2611.404716792824,2742.5798,29973.86,29823.097209111103,30120.355
2015-11-16 11:00:00,15246.880000000001,15058.694364430641,15288.353,10974.27,10888.651435350112,10667.209,1528.73,1549.1745493583412,1526.8901,2743.88,2604.8767536531504,2708.447,30493.760000000002,30101.397102792245,30190.9
2015-11-16 12:00:00,15683.560000000001,15296.982063036716,15762.686,11498.08,11194.817583298664,11093.314,1486.52,1513.6725899206099,1500.1418,2698.96,2579.6305612157657,2714.0598,31367.12,30585.102797471754,31070.203
2015-11-16 13:00:00,16805.4125,15657.813456254486,16402.586,12560.4525,11612.742236742262,11800.015,1514.89,1502.2236122654356,1513.3282,2730.07,2550.40814034456,2687.488,33610.825,31323.187445606745,32403.418
2015-11-16 14:00:00,17132.65,15808.338031953972,16890.928,12872.66,11829.695942934806,12226.093,1564.85,1515.697938821068,1555.2361,2695.1400000000003,2513.047947318735,2690.0164,34265.3,31666.779861028583,33362.273
2015-11-16 15:00:00,18022.24,16078.401987425555,17633.879,13772.970000000001,12161.565371209801,12787.616,1593.8700000000001,1516.0327935806754,1575.269,2655.4,2503.426831614819,2702.7751,36044.48,32259.42698383085,34699.54
2015-11-16 16:00:00,18753.25,16445.14217793596,18180.05,14509.55,12536.814430836168,13474.278,1637.93,1545.6002240681526,1622.9196,2605.7700000000004,2517.032154071952,2716.6025,37506.5,33044.588986912226,35993.848
2015-11-16 17:00:00,18902.4225,16720.114200349468,18759.973,14749.372500000001,12796.630775842543,13890.059,1698.6100000000001,1580.786559919565,1692.4836,2454.44,2494.2196598940554,2711.227,37804.845,33591.75119600563,37053.742
2015-11-16 18:00:00,19158.254999999997,17011.280838028848,19105.37,14776.224999999999,12949.065369729391,14187.183,1742.74,1733.8879537164678,1750.8687,2639.29,2542.0726064849205,2723.107,38316.509999999995,34236.30676795963,37766.523
