,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3,clustersum,clustersum,clustersum
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-17 10:00:00,12645.749897237649,13054.548604518357,12882.791,697.54999065377,693.6812344976468,707.257,11909.524907346778,12350.874332662583,12048.539,38.6749992371,42.898852879979415,39.706036,12645.749897237649,13087.454420040209,12795.502
2015-11-17 11:00:00,13608.47493815125,13930.94875086172,13759.049,694.42500686663,702.9527601159807,679.3981,12875.299931284619,13202.402353977046,12964.865,38.75,42.3053846621694,36.6389,13608.474938151248,13947.660498755196,13680.902
2015-11-17 12:00:00,14129.550003050661,14437.185888986893,14542.601,681.9250059130701,676.8277847050356,659.8475,13409.97499561169,13735.576317946394,13826.768,37.6500015259,40.88417743094283,38.585587,14129.550003050661,14453.288280082372,14525.201
2015-11-17 13:00:00,15137.04998075982,15183.497139608775,15307.622,722.25000190713,672.2463819238357,659.24414,14377.02497732679,14463.229326112532,14672.156,37.7750015259,43.66930180468638,45.081715,15137.04998075982,15179.145009841055,15376.482
2015-11-17 14:00:00,15661.72497105428,15862.60120811841,15749.011,735.7999958989299,656.8608323626654,674.55566,14880.14997362945,15121.324988174054,15335.272,45.7750015259,48.07770502447031,49.447178,15661.72497105428,15826.26352556119,16059.275
2015-11-17 15:00:00,15810.325096136401,15844.154413037913,16253.99,650.4250020984699,640.1915372878559,655.9843,15119.00009251203,15129.599224988351,15650.157,40.9000015259,47.33896966511352,50.194515,15810.3250961364,15817.12973194132,16356.336
2015-11-17 16:00:00,15948.224977844191,15964.010512294919,16588.451,674.17499923713,643.8493323877042,656.1123,15234.724977844162,15238.747471970695,15791.948,39.3250007629,46.617469814370395,50.188038,15948.224977844191,15929.21427417277,16498.248
2015-11-17 17:00:00,15844.80011975516,16103.864897291238,16584.21,648.5250005716699,637.6196467874165,681.49115,15155.05012070939,15377.584371924997,15971.869,41.2249984741,46.40340505022551,51.788296,15844.800119755158,16061.607423762638,16705.148
2015-11-17 18:00:00,16003.04998624612,16179.45365996331,16849.07,677.1999969478601,614.8211433806895,657.5751,15285.074987772361,15459.45344302475,15934.237,40.7750015259,51.65211846022181,48.988472,16003.049986246122,16125.926704865662,16640.8
2015-11-17 19:00:00,16183.52501798198,16281.950277069269,16679.092,678.9749941827299,614.3943741554118,666.2047,15464.275022273352,15554.93005245206,15955.343,40.2750015259,50.089790386844896,50.99511,16183.525017981983,16219.414216994317,16672.541
2015-11-17 20:00:00,16366.92498576963,16334.516201055963,16636.832,696.5249948500299,621.0140844882196,695.836,15630.024990919599,15588.46892727144,16060.333,40.375,50.54099032202887,50.645756,16366.924985769629,16260.02400208169,16806.816
2015-11-17 21:00:00,16173.175055386131,16106.426689299875,16396.926,719.0250129705299,655.7468332022419,740.8953,15412.8750408897,15332.57513700025,15314.297,41.2750015259,50.049228031218114,46.761402,16173.17505538613,16038.37119823371,16101.954
2015-11-17 22:00:00,15589.15253990909,15670.657781808464,15910.861,768.8250083927701,740.7972338534748,741.2381,14778.15253227922,14847.717069069888,14882.484,42.1749992371,49.215578146945425,44.644917,15589.152539909092,15637.729881070307,15668.367
2015-11-17 23:00:00,15038.2400330942,15054.537764034945,15508.502,770.87499809277,754.5310945224987,787.55597,14226.54003423853,14235.524545027461,14091.492,40.8250007629,47.646416237736204,41.166584,15038.240033094198,15037.702055787697,14920.215
2015-11-18 00:00:00,14528.000010253669,14279.948426821687,15002.095,766.4999971386999,793.0382761661056,815.2706,13722.07501387787,13460.724834753932,13750.882,39.4249992371,46.5920290948062,37.95808,14528.00001025367,14300.355140014844,14604.11
2015-11-18 01:00:00,13918.47499966509,13762.090225899217,14527.432,787.1999998091,760.215290233475,852.5151,13092.249998330091,12966.127561007019,13374.198,39.0250015259,46.687352813292804,40.451763,13918.474999665092,13773.030204053786,14267.165
2015-11-18 02:00:00,13644.82502460506,13364.86976726666,13783.494,851.1000022891,799.8856166582517,832.10913,12754.65002536776,12547.251842449747,12556.725,39.0749969482,46.897363835570914,36.133137,13644.825024605061,13394.03482294357,13424.967
2015-11-18 03:00:00,13083.64996194552,13013.75887777241,13468.358,839.0749921793999,816.2379805064854,868.7336,12205.44996976612,12185.028185609366,12130.615,39.125,47.50496661456041,37.71101,13083.649961945519,13048.771132730411,13037.06
2015-11-18 04:00:00,12701.07500660421,12541.156567929338,12996.699,830.9500036243,804.3007518105055,834.8127,11831.27500450581,11741.641945382715,11803.8955,38.8499984741,47.441844900453006,39.192757,12701.07500660421,12593.384542093674,12677.9
2015-11-18 05:00:00,12386.05002462928,12267.228962613783,12601.288,796.4999961853,793.4991767510654,789.6256,11550.15002691808,11491.908803477641,11572.298,39.4000015259,48.303589892526055,36.91593,12386.05002462928,12333.711570121233,12398.84
2015-11-18 06:00:00,12147.67503809749,12141.106275166307,12287.204,791.3249912255001,761.8373204986727,757.1406,11317.40004610909,11395.694456093146,11569.923,38.9500007629,48.37496522471496,38.781162,12147.67503809749,12205.906741816534,12365.845
2015-11-18 07:00:00,12084.60001218413,12033.40039192648,12077.027,790.27499484967,693.7284665759389,714.17346,11255.27501809736,11341.473824816441,11512.255,39.0499992371,47.528218322694244,38.91209,12084.60001218413,12082.730509715073,12265.341
2015-11-18 08:00:00,11942.97501611897,11974.813236712824,12396.907,748.35000324293,690.5892414083772,693.8237,11155.52501440194,11297.788189294692,11315.467,39.0999984741,47.159631511672536,38.518684,11942.975016118968,12035.537062214742,12047.81
2015-11-18 09:00:00,12012.52504587243,12214.66838867514,12358.476,728.57501411477,683.3536811482486,699.9932,11244.95003175766,11548.202101382394,11468.295,39.0,47.42084790206122,36.677937,12012.52504587243,12278.976630432704,12204.966
2015-11-18 10:00:00,12604.87485456245,13038.32342178083,12896.214,719.8999972345699,678.7153518060936,662.2706,11846.19985580198,12383.24019043347,11949.466,38.7750015259,49.112756405574856,34.72614,12604.874854562451,13111.068298645137,12646.463
2015-11-18 11:00:00,13408.124982238962,13840.705430343514,13874.885,717.7250061035002,690.7152056352726,687.19476,12651.37497460956,13159.073474649687,12744.244,39.0250015259,49.12534642903112,36.825596,13408.124982238962,13898.914026713992,13468.264
