,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-06 00:00:00,18870.5,18210.385034568943,18620.174,2408.73,2343.9852592273264,2382.0427,783.11,755.6830708955749,790.0373,15678.66,15112.462363521548,15599.816
2015-11-06 01:00:00,18526.96,17737.96246814436,18064.275,2407.98,2360.471082696431,2394.078,769.68,743.9669492130182,800.90753,15349.299999999997,14644.449715816807,15051.647
2015-11-06 02:00:00,18012.24,17357.789694587056,17615.262,2411.1099999999997,2352.819085678666,2396.793,774.3799999999999,740.8545792117318,805.6737,14826.75,14271.046453080966,14536.615
2015-11-06 03:00:00,17569.14,17004.53746713411,17163.42,2422.74,2356.681943947615,2413.5337,772.6500000000001,739.702873715096,780.8705,14373.750000000002,13920.823486791878,14112.509
2015-11-06 04:00:00,17061.51,16590.460180756552,16728.549,2397.5299999999997,2374.3650348287188,2384.3472,776.01,738.7970166962568,781.98413,13887.97,13493.486497376241,13617.77
2015-11-06 05:00:00,16220.35,15853.682323463125,16074.248,2402.4,2355.136051565495,2400.4824,684.01,650.0817302784725,679.6649,13133.94,12858.825490791964,13006.566
2015-11-06 06:00:00,15501.82,15377.030023793846,15432.536,2392.29,2361.449014509937,2397.0598,570.52,562.7044543313884,572.0115,12539.009999999998,12461.279791787054,12327.682
2015-11-06 07:00:00,15107.509999999998,15043.40903645746,15113.631,2395.37,2369.8894333276603,2376.8538,570.15,554.4945454438429,579.4035,12141.99,12134.999203930744,12096.972
2015-11-06 08:00:00,14969.13,14819.155888155365,14962.582,2416.9500000000003,2362.9066901941887,2365.7932,560.09,562.2067330589038,619.0198,11992.089999999998,11911.586671829877,11823.349
2015-11-06 09:00:00,15028.86,14862.407255388174,14764.999,2422.75,2378.241714242262,2397.6128,808.72,757.6989275555649,779.3983,11797.39,11770.27277850253,11683.353
2015-11-06 10:00:00,14955.66,14843.930289505455,14870.069,2424.42,2326.838396814251,2371.7803,829.41,705.8021160962107,815.5792,11701.83,11828.126707107813,11649.772
2015-11-06 11:00:00,14907.73,15039.376573060865,14971.661,2414.9,2362.551581479053,2366.9941,813.19,732.3937691234322,843.1079,11679.640000000001,11957.604475255093,11615.267
2015-11-06 12:00:00,15544.069999999998,15354.208564276776,15334.637,2422.04,2342.3050329379703,2348.3965,810.3900000000001,742.2034062977194,844.81213,12311.640000000001,12297.572035568812,12039.629
2015-11-06 13:00:00,16506.934999999998,15829.003746569355,15948.329,2404.23,2344.3594168464283,2367.1047,843.62,743.175061239421,832.0709,13259.085,12784.81688318187,12769.013
2015-11-06 14:00:00,16803.6,16256.435167333782,16326.885,2429.7999999999997,2343.092753375172,2368.0913,847.5,759.3650621555722,837.1092,13526.3,13197.59628670724,13247.5205
2015-11-06 15:00:00,17717.22,17090.788758747614,17198.451,2399.08,2382.4429724819884,2357.3486,859.53,771.7478948167204,829.29785,14458.61,13965.704269320902,14068.055
2015-11-06 16:00:00,18351.645,17858.322504801687,18064.22,2308.31,2398.3946337908246,2359.29,843.8599999999999,770.693025759753,804.1682,15199.475000000002,14709.170643437254,15077.566
2015-11-06 17:00:00,18783.38,18290.324865926003,18718.383,2312.6899999999996,2360.5904059269046,2381.7092,804.33,763.9108960339532,796.8777,15666.36,15167.507292739298,15691.513
2015-11-06 18:00:00,18846.739999999998,18633.54008321334,18986.557,2277.98,2404.643510167182,2357.6458,777.36,760.1745093285941,795.78046,15791.4,15473.027896091335,15951.425
2015-11-06 19:00:00,18956.260000000002,18780.373924679527,19053.482,2308.37,2427.3691809576026,2365.7046,759.6500000000001,745.6823532102643,767.78906,15888.24,15619.395583578413,16189.5205
2015-11-06 20:00:00,19125.11,18823.216541442693,18993.656,2329.01,2382.035524258507,2388.4727,742.49,744.3941106225178,764.02405,16053.61,15682.90785567669,16144.074
2015-11-06 21:00:00,19116.145,18880.06957934725,19047.508,2364.7200000000003,2384.6249685311614,2386.45,751.39,742.6543844208726,774.05707,16000.035,15736.687158196215,16072.699
2015-11-06 22:00:00,18892.1725,18787.320608069436,19034.904,2359.18,2336.2478127434083,2392.439,730.0000000000001,740.7671227386857,765.635,15802.9925,15676.003548848272,15955.081
2015-11-06 23:00:00,18587.51,18571.0537758057,18792.957,2409.03,2351.9653122975587,2405.808,735.0,742.9128347112921,749.1346,15443.48,15459.070254122926,15487.072
