,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-03 21:00:00,20042.28,19591.85517905528,20080.514,5466.75,5261.119273780257,5413.616,13731.0,13502.602362437865,13570.431,844.5300000000001,852.2880375035525,892.28253
2015-11-03 22:00:00,19937.864999999998,19682.784139506362,20195.547,5513.570000000001,5375.606542031552,5454.2393,13563.244999999999,13458.301513458928,13519.366,861.0500000000001,863.7564479875979,882.2095
2015-11-03 23:00:00,19582.97,19430.416382766332,19746.807,5518.68,5460.443370997718,5522.6567,13219.48,13180.088060685088,13237.9795,844.8100000000001,846.1943473259593,867.7127
2015-11-04 00:00:00,18878.079999999998,18647.468981913145,19160.05,5562.99,5539.079354804766,5609.2637,12496.689999999999,12423.500638207666,12696.868,818.4000000000001,800.4736439395259,829.58405
2015-11-04 01:00:00,18535.72,18248.949274938645,18598.299,5675.34,5591.034587607118,5657.027,12038.42,11949.640844659505,12104.405,821.96,795.2516009729421,824.2669
2015-11-04 02:00:00,18092.79,17830.64372082577,17876.297,5665.43,5656.076499002138,5720.915,11571.0,11534.676222156835,11623.701,856.3599999999999,777.5408109241974,834.1831
2015-11-04 03:00:00,17523.49,17509.20515207583,17385.715,5601.64,5662.040148090733,5723.762,11058.380000000001,11227.592056217532,11152.067,863.47,768.7205837720622,840.5046
2015-11-04 04:00:00,17022.01,17008.26699312514,16997.469,5567.78,5545.820102145238,5676.027,10604.23,10830.481520086641,10748.913,850.0,767.2217007318225,835.97675
2015-11-04 05:00:00,16186.069999999998,16204.826300406701,16261.885,5502.9400000000005,5341.989821931716,5537.6533,9946.789999999999,10300.680007695802,10062.203,736.3400000000001,688.902836200062,741.262
2015-11-04 06:00:00,15639.75,15941.270485847332,15682.83,5361.240000000001,5397.837524992214,5428.3823,9642.76,10076.072984022816,9729.557,635.75,614.5867534958318,663.1222
2015-11-04 07:00:00,15135.220000000001,15571.273010275163,15291.332,5154.849999999999,5198.887640361887,5261.5923,9367.68,9868.158300648727,9602.479,612.69,592.3422875444024,653.7147
2015-11-04 08:00:00,14913.62,15154.289639398612,15157.062,4986.120000000001,4920.535352854127,5118.39,9304.23,9718.365976393314,9303.789,623.27,583.624224927734,673.7328
2015-11-04 09:00:00,14891.98,15023.147646838743,14951.342,4861.329999999999,4683.935560886242,4905.026,9222.920000000002,9650.213290870315,9230.21,807.73,740.891922535402,786.755
2015-11-04 10:00:00,14763.84,15350.176654724915,14870.101,4723.77,4702.11095780863,4784.0146,9202.82,9911.848622610441,9211.458,837.25,770.0542221430642,833.678
2015-11-04 11:00:00,14812.009999999998,15491.849336082822,14949.047,4677.110000000001,4618.221813359331,4710.5425,9307.869999999999,10086.490032786674,9347.061,827.03,797.2593629712877,870.23065
2015-11-04 12:00:00,15248.29,15774.869400803951,15344.635,4678.33,4534.990479125634,4718.639,9653.93,10389.733937778154,9679.442,916.03,850.5580680992772,888.9732
2015-11-04 13:00:00,16080.950000000003,16302.684598423903,15976.014,4751.37,4589.737785133271,4710.22,10364.19,10859.102316338089,10193.169,965.39,892.4762866841004,916.96234
2015-11-04 14:00:00,16592.93,16671.078624771126,16747.15,4748.1,4579.927296712672,4813.128,10882.52,11232.165499492228,10684.0205,962.31,886.4501881209552,910.78955
2015-11-04 15:00:00,17421.83,17387.365990870047,17652.443,4770.96,4652.817675279982,4853.67,11678.3,11871.02096191481,11396.676,972.5699999999999,891.0719108073291,904.2331
2015-11-04 16:00:00,18305.58,18122.028949910527,18601.162,4884.6,4708.88842679009,4942.3843,12451.09,12517.93399707784,12243.49,969.8900000000001,872.7557866680569,901.4913
2015-11-04 17:00:00,18824.57,18679.050735336183,19117.553,4941.58,4863.494649521499,5087.513,12926.48,12906.913044989236,12801.494,956.51,872.620187800711,878.7576
2015-11-04 18:00:00,19154.78,18953.449746107643,19536.37,4970.93,4925.100427440279,5166.484,13246.94,13105.821807532287,13212.593,936.9100000000001,854.1434309981383,853.8911
2015-11-04 19:00:00,19524.13,19135.88298919944,19731.705,5183.97,5060.625984632529,5231.616,13417.220000000001,13198.03679881516,13349.883,922.9399999999999,844.988382345211,850.88446
2015-11-04 20:00:00,19517.34,19233.03666917219,20020.21,5246.81,5131.030968464469,5287.8516,13334.45,13239.82662800655,13409.759,936.08,840.3088744478644,834.44104
2015-11-04 21:00:00,19562.11,19262.604569014675,19939.377,5331.4400000000005,5191.034678926513,5408.6553,13291.580000000002,13250.155330168654,13545.542,939.09,830.8630147749279,846.5156
2015-11-04 22:00:00,19461.23,19244.152380575444,20013.26,5257.490000000001,5247.898293929024,5461.4194,13253.68,13195.039186367847,13457.074,950.06,827.5858373486561,850.31256
2015-11-04 23:00:00,19286.817499999997,19033.244927064592,19790.404,5332.849999999999,5342.815438015329,5462.378,13016.7375,12954.125482310223,13234.557,937.23,810.4831943079886,848.64746
