,demand,weekofyear_trans,hourofweek_trans
2018-01-01 01:00:00,689.2,792.7934131736523,710.5466666666667
2018-01-01 02:00:00,655.3,792.7934131736523,638.5333333333333
2018-01-01 03:00:00,701.1999999999999,792.7934131736523,674.0266666666666
2018-01-01 04:00:00,699.8,792.7934131736523,654.0
2018-01-01 05:00:00,700.3000000000001,792.7934131736523,647.09
2018-01-01 06:00:00,699.5,792.7934131736523,646.9100000000002
2018-01-01 07:00:00,697.9,792.7934131736523,670.7933333333333
2018-01-01 08:00:00,709.7,792.7934131736523,752.9433333333334
2018-01-01 09:00:00,755.3,792.7934131736523,875.0466666666666
2018-01-01 10:00:00,790.0999999999999,792.7934131736523,947.0300000000001
2018-01-01 11:00:00,772.6000000000001,792.7934131736523,1016.3366666666667
2018-01-01 12:00:00,781.0,792.7934131736523,1032.8733333333334
2018-01-01 13:00:00,788.0,792.7934131736523,1047.41
2018-01-01 14:00:00,762.8,792.7934131736523,1031.48
2018-01-01 15:00:00,757.0000000000001,792.7934131736523,1042.4466666666665
2018-01-01 16:00:00,768.0,792.7934131736523,1042.3033333333333
2018-01-01 17:00:00,768.0,792.7934131736523,1028.7999999999997
2018-01-01 18:00:00,782.5,792.7934131736523,1000.23
2018-01-01 19:00:00,755.5,792.7934131736523,930.7433333333333
2018-01-01 20:00:00,706.5999999999999,792.7934131736523,843.6766666666665
2018-01-01 21:00:00,702.0,792.7934131736523,808.5099999999999
2018-01-01 22:00:00,691.8,792.7934131736523,768.3366666666667
2018-01-01 23:00:00,695.8,792.7934131736523,743.2966666666665
2018-01-02 00:00:00,704.0,792.7934131736523,715.0199999999999
2018-01-02 01:00:00,691.6,792.7934131736523,709.1233333333333
2018-01-02 02:00:00,643.9,792.7934131736523,622.1899999999998
2018-01-02 03:00:00,699.3,792.7934131736523,681.24
2018-01-02 04:00:00,665.4000000000001,792.7934131736523,656.0366666666669
2018-01-02 05:00:00,662.5,792.7934131736523,647.7800000000002
2018-01-02 06:00:00,672.4,792.7934131736523,647.6966666666667
2018-01-02 07:00:00,672.5999999999999,792.7934131736523,674.41
2018-01-02 08:00:00,723.6000000000001,792.7934131736523,758.6533333333332
2018-01-02 09:00:00,804.9,792.7934131736523,872.8466666666668
2018-01-02 10:00:00,881.1000000000001,792.7934131736523,988.3
2018-01-02 11:00:00,929.1999999999999,792.7934131736523,1041.3
2018-01-02 12:00:00,950.8,792.7934131736523,1060.2733333333333
2018-01-02 13:00:00,951.3,792.7934131736523,1061.3100000000002
2018-01-02 14:00:00,944.0999999999999,792.7934131736523,1068.5966666666668
2018-01-02 15:00:00,952.0,792.7934131736523,1056.5333333333333
2018-01-02 16:00:00,958.0,792.7934131736523,1060.1766666666667
2018-01-02 17:00:00,944.8,792.7934131736523,1031.3466666666668
2018-01-02 18:00:00,909.5,792.7934131736523,1012.3333333333335
2018-01-02 19:00:00,812.3000000000002,792.7934131736523,940.3233333333334
2018-01-02 20:00:00,721.1999999999999,792.7934131736523,844.5266666666665
2018-01-02 21:00:00,722.1,792.7934131736523,807.7333333333333
2018-01-02 22:00:00,695.4,792.7934131736523,767.5100000000001
2018-01-02 23:00:00,686.1000000000001,792.7934131736523,743.2133333333333
2018-01-03 00:00:00,677.3,792.7934131736523,716.1266666666666
2018-01-03 01:00:00,677.0,792.7934131736523,703.65
2018-01-03 02:00:00,627.4,792.7934131736523,629.8633333333333
2018-01-03 03:00:00,666.3,792.7934131736523,668.3499999999999
2018-01-03 04:00:00,700.3,792.7934131736523,660.95
2018-01-03 05:00:00,669.1,792.7934131736523,646.3
2018-01-03 06:00:00,666.5,792.7934131736523,641.8
2018-01-03 07:00:00,672.1999999999999,792.7934131736523,672.5000000000001
2018-01-03 08:00:00,694.5,792.7934131736523,748.0766666666666
2018-01-03 09:00:00,806.3,792.7934131736523,879.1433333333333
2018-01-03 10:00:00,892.1999999999999,792.7934131736523,979.4033333333332
2018-01-03 11:00:00,943.0,792.7934131736523,1041.5266666666664
2018-01-03 12:00:00,961.5,792.7934131736523,1057.9466666666667
2018-01-03 13:00:00,969.5,792.7934131736523,1063.7100000000003
2018-01-03 14:00:00,963.1,792.7934131736523,1059.6766666666667
2018-01-03 15:00:00,940.0,792.7934131736523,1072.743333333333
2018-01-03 16:00:00,965.7,792.7934131736523,1066.58
2018-01-03 17:00:00,958.2,792.7934131736523,1053.4366666666667
2018-01-03 18:00:00,921.9000000000001,792.7934131736523,1023.4066666666665
2018-01-03 19:00:00,827.3,792.7934131736523,948.1833333333333
2018-01-03 20:00:00,730.8999999999999,792.7934131736523,843.8666666666668
2018-01-03 21:00:00,710.1999999999999,792.7934131736523,805.6833333333335
2018-01-03 22:00:00,674.0,792.7934131736523,774.2099999999999
2018-01-03 23:00:00,680.0,792.7934131736523,757.7833333333336
2018-01-04 00:00:00,676.6999999999999,792.7934131736523,717.3366666666666
2018-01-04 01:00:00,662.0,792.7934131736523,710.0966666666666
2018-01-04 02:00:00,612.7,792.7934131736523,629.3033333333332
2018-01-04 03:00:00,655.5,792.7934131736523,673.8966666666666
2018-01-04 04:00:00,653.5,792.7934131736523,659.8333333333334
2018-01-04 05:00:00,658.5,792.7934131736523,649.2033333333334
2018-01-04 06:00:00,658.9000000000001,792.7934131736523,649.6833333333335
2018-01-04 07:00:00,673.0,792.7934131736523,674.5099999999999
2018-01-04 08:00:00,680.5999999999999,792.7934131736523,753.2433333333335
2018-01-04 09:00:00,718.2,792.7934131736523,873.3933333333333
2018-01-04 10:00:00,804.4999999999999,792.7934131736523,982.8733333333334
