,aggregate_forecast,aggregate_actual
2018-01-11 00:00:00,696.0679166760705,710.9000000000001
2018-01-11 01:00:00,682.6947209268637,716.0
2018-01-11 02:00:00,609.7825405946638,638.6
2018-01-11 03:00:00,688.1314543855217,674.8000000000001
2018-01-11 04:00:00,669.4618992333803,705.5
2018-01-11 05:00:00,669.1347526505472,671.0
2018-01-11 06:00:00,691.7648482038892,681.8
2018-01-11 07:00:00,688.6164844653264,692.7
2018-01-11 08:00:00,736.2727252604839,752.5
2018-01-11 09:00:00,846.53393661819,889.6
2018-01-11 10:00:00,928.4449262829728,988.7
2018-01-11 11:00:00,976.65824742894,1025.2
2018-01-11 12:00:00,1003.4440963893974,1055.3
2018-01-11 13:00:00,1014.2758926335883,1043.0
2018-01-11 14:00:00,960.4259632443458,1042.7
2018-01-11 15:00:00,1002.1504290931925,1027.1
2018-01-11 16:00:00,1010.6296965367824,1036.0
2018-01-11 17:00:00,1014.6413247962665,998.8
2018-01-11 18:00:00,990.0394069791512,980.0
2018-01-11 19:00:00,934.0441860837126,953.8999999999999
2018-01-11 20:00:00,873.5357609884475,933.1
2018-01-11 21:00:00,820.1069096015786,881.9
2018-01-11 22:00:00,738.6768473719292,768.4
2018-01-11 23:00:00,743.4519110917305,744.4000000000001
2018-01-12 00:00:00,722.9419148294967,706.5
2018-01-12 01:00:00,716.1536815090687,677.8
2018-01-12 02:00:00,634.4863601711936,638.8
2018-01-12 03:00:00,671.9758446749597,665.0
2018-01-12 04:00:00,701.5299376532992,670.0
2018-01-12 05:00:00,665.4601691010407,660.0
2018-01-12 06:00:00,675.4866259140904,660.1
2018-01-12 07:00:00,689.8678496771835,666.0
2018-01-12 08:00:00,753.3419445121626,733.4000000000001
2018-01-12 09:00:00,854.7290443745351,853.4
2018-01-12 10:00:00,955.6323210767606,957.5
2018-01-12 11:00:00,1012.952129265996,996.6
2018-01-12 12:00:00,1048.8949325277745,1004.0
2018-01-12 13:00:00,1057.322602764817,1010.9000000000001
2018-01-12 14:00:00,1013.0905035773361,991.7
2018-01-12 15:00:00,1050.867487687533,982.9
2018-01-12 16:00:00,1061.2981575072279,1015.6
2018-01-12 17:00:00,1021.8907960487442,1000.6999999999999
2018-01-12 18:00:00,986.9499446059748,981.0000000000001
2018-01-12 19:00:00,900.8416442321169,882.5999999999999
2018-01-12 20:00:00,780.5812183327131,764.0999999999999
2018-01-12 21:00:00,722.2680793858208,738.9
2018-01-12 22:00:00,721.7241472387899,703.5999999999999
2018-01-12 23:00:00,711.4202287228168,694.0
2018-01-13 00:00:00,679.4272389671954,688.1
2018-01-13 01:00:00,668.0639312261583,677.5
2018-01-13 02:00:00,622.0963341318684,616.0
2018-01-13 03:00:00,657.6391814818559,665.0
2018-01-13 04:00:00,666.848609789169,645.1999999999999
2018-01-13 05:00:00,666.7568798659365,646.9000000000001
2018-01-13 06:00:00,657.7896799491382,664.6999999999999
2018-01-13 07:00:00,654.2123101243608,653.1
2018-01-13 08:00:00,677.1521138158079,664.4000000000001
2018-01-13 09:00:00,747.2074648798426,735.4000000000001
2018-01-13 10:00:00,764.4604002506918,760.0
2018-01-13 11:00:00,802.2239015284459,804.6999999999999
2018-01-13 12:00:00,908.6535699227874,880.0999999999999
2018-01-13 13:00:00,942.0334399795105,900.1999999999999
2018-01-13 14:00:00,951.2199208353987,906.9000000000001
2018-01-13 15:00:00,925.479421142596,881.3
2018-01-13 16:00:00,937.0852934554038,917.3
2018-01-13 17:00:00,908.2327341788163,951.0999999999999
2018-01-13 18:00:00,891.1593984096716,946.0999999999999
2018-01-13 19:00:00,826.9817189239436,866.0000000000001
2018-01-13 20:00:00,758.2155523358501,772.2
2018-01-13 21:00:00,744.7861704808558,774.5
2018-01-13 22:00:00,696.1839106615085,731.2
2018-01-13 23:00:00,687.4246088045987,724.5999999999999
2018-01-14 00:00:00,682.9733468160279,716.9
2018-01-14 01:00:00,667.9245856213789,711.4000000000001
2018-01-14 02:00:00,625.9228579981082,653.0
2018-01-14 03:00:00,659.5444491719469,690.5
2018-01-14 04:00:00,641.8594482369579,672.7
2018-01-14 05:00:00,637.0710485595099,667.2
2018-01-14 06:00:00,656.8082495920911,671.0999999999999
2018-01-14 07:00:00,646.7007244613717,672.3
2018-01-14 08:00:00,661.9906809700637,685.9000000000001
2018-01-14 09:00:00,717.0886592469731,733.9
2018-01-14 10:00:00,743.0758160995927,757.5
2018-01-14 11:00:00,782.5943461773282,819.1
2018-01-14 12:00:00,872.2594728962716,941.0999999999999
2018-01-14 13:00:00,898.5021638048969,974.6
2018-01-14 14:00:00,888.9867771798481,971.3999999999999
2018-01-14 15:00:00,890.1918985485013,953.9000000000001
2018-01-14 16:00:00,926.7250524637982,987.8
2018-01-14 17:00:00,922.7914660171399,1012.8999999999999
2018-01-14 18:00:00,912.2074800930056,988.6999999999999
2018-01-14 19:00:00,836.8920409624974,899.5999999999999
2018-01-14 20:00:00,744.6152240907156,803.3999999999999
2018-01-14 21:00:00,732.2702298978242,803.3
2018-01-14 22:00:00,699.9937621169391,762.5
2018-01-14 23:00:00,699.6197251397898,756.4000000000001
2018-01-15 00:00:00,794.404061061623,759.9
2018-01-15 01:00:00,778.9733701656011,732.5
2018-01-15 02:00:00,716.5011901360922,675.0
2018-01-15 03:00:00,753.6154740233618,713.0
2018-01-15 04:00:00,724.5659663083245,679.0999999999999
2018-01-15 05:00:00,720.492166642434,676.9000000000001
2018-01-15 06:00:00,732.7001611960302,681.1
2018-01-15 07:00:00,737.6229954127535,701.8
